text,label,bias_terms,target_group,severity,safer_text,label_id
Nói thật chứ người phụ nữ phụ nữ mà đàm phán kinh doanh thì yếu thế hơn đàn ông.,Gender Bias,đàm phán yếu thế hơn,phụ nữ,high,Mọi người đều xứng đáng được tôn trọng bất kể giới tính hay xu hướng tính dục.,1
"Làm việc với người Sài Gòn xưa mệt lắm vì không tiết kiệm, sống qua ngày.",Regional Bias,"không tiết kiệm, thiếu kế hoạch",Người miền Nam,medium,"Mỗi người có cá tính riêng, không nên đánh giá dựa trên xuất thân vùng miền.",12
Nghe nói mấy đứa giao hàng thì đầu óc đơn giản lắm.,Occupation Bias,đầu óc đơn giản,shipper / người giao hàng,high,"Người giao hàng cần kỹ năng quản lý lộ trình, giao tiếp khách hàng và giải quyết tình huống linh hoạt.",4
"Nghề đan lát thủ công thì lỗi thời rồi, ai còn làm.",Occupation Bias,lỗi thời rồi,thợ thủ công / đan lát,medium,"Nghề thủ công truyền thống có giá trị văn hóa và kinh tế, nhiều sản phẩm được xuất khẩu với giá cao.",4
Người trán cao thường xấu xí.,Appearance Bias,"trán cao, trán rộng",người có trán cao,medium,Không có đặc điểm khuôn mặt nào là 'xấu xí'.,11
Người trên 55 tuổi không nên ứng tuyển vị trí này.,Age Bias,"trên 55 tuổi, không nên ứng tuyển",Người cao tuổi,High,Phân biệt tuổi tác trong tuyển dụng là không công bằng và bất hợp pháp ở nhiều nơi.,2
Học sinh hoàn thành bài tập nhóm. vào cuối tháng.,Non-bias,none,none,low,Học sinh hoàn thành bài tập nhóm. vào cuối tháng.,0
"Tôi thấy người Huế bảo thủ, gắn với cái cũ không chịu thay đổi.",Regional Bias,"bảo thủ, không chịu thay đổi",Người Huế,medium,Không công bằng khi áp đặt định kiến lên cả một cộng đồng người.,12
Nhiều người nghĩ người quét dọn đường phố thì đêm hôm vất vả mà thu nhập bèo.,Occupation Bias,vất vả mà thu nhập bèo,lao động vệ sinh đường phố,medium,Lao động vệ sinh đường phố cần được đảm bảo thu nhập xứng đáng với công việc quan trọng họ thực hiện.,4
"Không biết sao chứ dân Huế người Huế ăn nhạt, nấu ăn dở tệ.",Regional Bias,"ăn nhạt, nấu ăn dở",Người Huế,low,Không công bằng khi áp đặt định kiến lên cả một cộng đồng người.,12
"Nghe nói nghề đan lát thủ công thì lỗi thời rồi, ai còn làm.",Occupation Bias,lỗi thời rồi,thợ thủ công / đan lát,medium,"Nghề thủ công truyền thống có giá trị văn hóa và kinh tế, nhiều sản phẩm được xuất khẩu với giá cao.",4
"Mấy cô trồng dâu nuôi tằm thì học ít, làm nhiều, sao lên được.",Occupation Bias,"học ít, làm nhiều, sao lên được",người trồng dâu nuôi tằm,medium,Nghề trồng dâu nuôi tằm đòi hỏi kiến thức kỹ thuật và là di sản văn hóa nông nghiệp Việt Nam.,4
Người có nốt ruồi lớn trên mặt trông xui xẻo.,Appearance Bias,nốt ruồi,người có nốt ruồi,medium,Nốt ruồi là đặc điểm bình thường và không liên quan đến vận may.,11
"Phụ nữ thì ai cũng biết là phụ nữ học triết học, chính trị làm gì, không hợp với họ.",Gender Bias,"không hợp, triết học chính trị",phụ nữ,high,Mọi người đều xứng đáng được tôn trọng bất kể giới tính hay xu hướng tính dục.,1
"Dân gian hay nói người miền Bắc thích làm màu, sống ảo nhiều hơn thực chất.",Regional Bias,"làm màu, sống ảo",Người miền Bắc,medium,Không nên nhìn nhận cả một nhóm người qua lăng kính định kiến.,12
Nhiều người nghĩ làm bảo vệ tòa nhà thì cuộc đời cũng tối tăm lắm.,Occupation Bias,cuộc đời tối tăm,bảo vệ tòa nhà,high,Nhân viên bảo vệ có thu nhập ổn định và cơ hội thăng tiến trong lĩnh vực an ninh chuyên nghiệp.,4
"Con nhà người ta học ra bác sĩ, còn mày học nghề thì sao bằng.",Occupation Bias,học nghề thì sao bằng,học sinh học nghề,high,"Học nghề là con đường nghề nghiệp có giá trị ngang với học đại học, tùy thuộc vào mục tiêu cá nhân.",4
"Người miền Bắc thì ai cũng biết là thích làm màu, sống ảo nhiều hơn thực chất.",Regional Bias,"làm màu, sống ảo",Người miền Bắc,medium,"Mỗi người là một cá thể độc lập, không đại diện cho tất cả người cùng vùng.",12
Ai cũng biết dân Quảng hay phân biệt người trong tỉnh và ngoài tỉnh.,Regional Bias,"phân biệt, cục bộ",Người Quảng Nam,high,Không công bằng khi áp đặt định kiến lên cả một cộng đồng người.,12
Người bị thiếu sắc tố tóc trắng như cụ non.,Appearance Bias,"tóc trắng sớm, thiếu sắc tố",người tóc trắng sớm,medium,Tóc trắng sớm do di truyền và không biến ai thành 'cụ non'.,11
Kinh nghiệm của tôi là người thuộc cộng đồng LGBT người LGBT không nên nhận con nuôi vì ảnh hưởng xấu đến trẻ em.,Gender Bias,"ảnh hưởng xấu đến trẻ em, nhận con nuôi",người LGBT,high,"Mỗi cá nhân có quyền tự quyết về cuộc sống của mình, không phụ thuộc giới tính.",1
Người làm lao công thì không hiểu được chiến lược kinh doanh đâu.,Class/Socioeconomic Bias,người làm,lao động phổ thông,high,Nghề nghiệp không xác định khả năng hiểu biết của một người.,3
Không có bằng thạc sĩ thì đừng mơ làm chuyên viên phân tích.,Class/Socioeconomic Bias,không có bằng,người không có bằng cấp phù hợp,high,Năng lực và kinh nghiệm thực tế có thể bù đắp cho bằng cấp chính thức trong nhiều lĩnh vực.,3
"Nghe nói dân xứ Nghệ dân xứ Nghệ cứng đầu, không nghe ai khuyên.",Regional Bias,"cứng đầu, bướng bỉnh",Người Nghệ An,medium,"Mỗi người có cá tính riêng, không nên đánh giá dựa trên xuất thân vùng miền.",12
Thế hệ 9x thiếu kiên nhẫn hơn thế hệ 7x nhiều.,Age Bias,"thế hệ 9x, thế hệ 7x",Nhiều thế hệ,Medium,Sự kiên nhẫn là phẩm chất cá nhân không liên quan đến thế hệ.,2
"Ông bà tôi hay nói người rửa bát thuê thì không có tương lai, cần đổi nghề khác.",Occupation Bias,không có tương lai,người rửa bát,medium,Mọi công việc lương thiện đều có giá trị; nhiều doanh nhân thành đạt từng làm những việc khiêm tốn.,4
người theo Phật giáo bị cho là khó tiếp cận khoa học trong môi trường làm việc.,Religion/Belief Bias,khó tiếp cận khoa học,người theo Phật giáo,high,Niềm tin tôn giáo hoặc việc không có tín ngưỡng không phản ánh năng lực hay tính cách của một người.,6
"Thật ra phụ nữ Việt Nam con gái mà cao quá, to quá thì đàn ông không thích.",Gender Bias,"cao quá to quá, đàn ông không thích",phụ nữ,medium,"Giới tính không quyết định khả năng, giá trị hay vai trò của một người.",1
người không học đại học thường không đáng tin trong công việc trí óc nên không nên giao việc quan trọng.,Educational Bias,không đáng tin trong công việc trí óc,người không học đại học,high,Không nên đánh giá năng lực hay cơ hội của một người chỉ dựa trên học vấn hoặc loại trường đã học.,5
Cộng đồng tổ chức chương trình tình nguyện. trong chương trình.,Non-bias,none,none,low,Cộng đồng tổ chức chương trình tình nguyện. trong chương trình.,0
