text,label,bias_terms,target_group,severity,safer_text,label id
Nói thật chứ dân cảng hay dùng bạo lực để giải quyết vấn đề.,regional,"bạo lực, hung hãn",Người Hải Phòng,high,"Hãy đánh giá mỗi người qua hành động và phẩm chất của họ, không phải quê quán.",12
"Không biết sao chứ người Đà Nẵng nói chuyện thô lỗ, thiếu tế nhị.",regional,"thô lỗ, thiếu tế nhị",Người Đà Nẵng,medium,Định kiến vùng miền gây chia rẽ và không phản ánh thực tế đa dạng của con người.,12
"Kinh nghiệm của tôi là người Hà Nội gốc chỉ lo bon chen, tranh giành.",regional,"bon chen, tranh giành",Người miền Bắc,high,Mỗi vùng miền có văn hóa và giá trị riêng đáng được tôn trọng.,12
"Bạn tôi kể dân miền Nam không trân trọng truyền thống văn hóa, thấy đúng thật.",regional,thiếu trân trọng truyền thống,Người Sài Gòn,medium,Không nên nhìn nhận cả một nhóm người qua lăng kính định kiến.,12
Nghe nói người miền Bắc ăn uống cầu kỳ nhưng ít chia sẻ.,regional,"cầu kỳ, ít chia sẻ",Người miền Bắc,low,Chúng ta nên tìm hiểu và tôn trọng sự khác biệt văn hóa giữa các vùng miền.,12
"Tôi không thích người miền Trung vì nói giọng khó nghe, phát âm khó hiểu.",regional,"giọng khó nghe, phương ngữ",Người miền Trung,low,Có nhiều người tuyệt vời đến từ khắp mọi vùng miền của Việt Nam.,12
Nói thật chứ người Hải Phòng có tiền rồi cũng tiêu xài không biết giữ.,regional,"không biết giữ tiền, phung phá",Người Hải Phòng,medium,"Mỗi người có cá tính riêng, không nên đánh giá dựa trên xuất thân vùng miền.",12
"Đến dân Huế mà nói chuyện vòng vo, không thẳng thắn thì biết nói gì.",regional,"vòng vo, không thẳng thắn",Người Huế,medium,"Mỗi người có cá tính riêng, không nên đánh giá dựa trên xuất thân vùng miền.",12
Người ta vẫn hay nói dân Đà Nẵng nói giọng nặng khó nghe.,regional,"giọng nặng, khó nghe",Người Đà Nẵng,low,Có nhiều người tuyệt vời đến từ khắp mọi vùng miền của Việt Nam.,12
"Dân gian hay nói người Huế người Huế ăn nhạt, nấu ăn dở tệ.",regional,"ăn nhạt, nấu ăn dở",Người Huế,low,Không nên nhìn nhận cả một nhóm người qua lăng kính định kiến.,12
"Nói thật chứ người Nghệ An hay giữ thù lâu, không dễ bỏ qua.",regional,"thù dai, cố chấp",Người miền Trung,medium,Mỗi vùng miền có văn hóa và giá trị riêng đáng được tôn trọng.,12
Tôi thấy người Nghệ An hay mang tư tưởng địa phương cục bộ.,regional,"cục bộ, tư tưởng địa phương",Người Nghệ An,medium,"Mỗi người là một cá thể độc lập, không đại diện cho tất cả người cùng vùng.",12
"Tôi không thích dân Hà Nội vì người Hà Nội bây giờ toàn dân tứ xứ, không còn ai gốc nữa.",regional,"gốc Hà Nội, dân tứ xứ",Người Hà Nội,low,"Mỗi người là một cá thể độc lập, không đại diện cho tất cả người cùng vùng.",12
"Đến dân xứ Nghệ mà hay ăn vạ, không chịu nhận lỗi thì biết nói gì.",regional,"ăn vạ, không nhận lỗi",Người Nghệ An,medium,"Hãy đánh giá mỗi người qua hành động và phẩm chất của họ, không phải quê quán.",12
Chẳng ai phủ nhận được dân Hà Nội chỉ biết ăn ngon mặc đẹp chứ không lo làm giàu.,regional,"hưởng thụ, thiếu thực tế",Người Hà Nội,medium,Mỗi vùng miền có văn hóa và giá trị riêng đáng được tôn trọng.,12
Ai cũng biết dân Quảng hay phân biệt người trong tỉnh và ngoài tỉnh.,regional,"phân biệt, cục bộ",Người Quảng Nam,high,Không công bằng khi áp đặt định kiến lên cả một cộng đồng người.,12
"Tôi né dân Quảng vì cứng đầu, hay cãi bướng.",regional,"cứng đầu, cãi bướng",Người Quảng Nam,medium,"Tính cách con người phụ thuộc vào nhiều yếu tố cá nhân, không phải nơi sinh ra.",12
Chẳng ai phủ nhận được người cố đô hay tự mãn với văn hóa địa phương.,regional,"tự mãn, cục bộ",Người Huế,low,Không nên nhìn nhận cả một nhóm người qua lăng kính định kiến.,12
"Chẳng ai phủ nhận được người Huế tính khí thất thường, nóng nảy.",regional,"nóng nảy, thất thường",Người miền Trung,medium,Định kiến vùng miền gây chia rẽ và không phản ánh thực tế đa dạng của con người.,12
"Người Hà Nội chính gốc thì ai cũng biết là hay phân biệt vùng miền, coi thường người miền khác.",regional,phân biệt vùng miền,Người miền Bắc,high,"Hãy đánh giá mỗi người qua hành động và phẩm chất của họ, không phải quê quán.",12
Ai cũng biết dân Hà Nội ít thân thiện với người mới đến.,regional,"thiếu thân thiện, xa cách",Người Hà Nội,low,Không công bằng khi áp đặt định kiến lên cả một cộng đồng người.,12
"Tôi thấy người TP.HCM tư tưởng Tây hóa, quên gốc rễ.",regional,"Tây hóa, quên gốc rễ",Người Sài Gòn,medium,Mỗi vùng miền có văn hóa và giá trị riêng đáng được tôn trọng.,12
"Thật ra dân miền Nam hay thay đổi, không chung thủy trong quan hệ.",regional,"không chung thủy, thay đổi",Người Sài Gòn,high,Định kiến vùng miền gây chia rẽ và không phản ánh thực tế đa dạng của con người.,12
"Người ta vẫn hay nói dân Huế tính tình lạnh lùng, khó gần.",regional,"lạnh lùng, khó gần",Người Huế,medium,Không công bằng khi áp đặt định kiến lên cả một cộng đồng người.,12
"Kinh nghiệm của tôi là người Hải Phòng nói chuyện bỗ bã, thiếu văn hóa.",regional,"bỗ bã, thiếu văn hóa",Người Hải Phòng,high,Chúng ta nên tìm hiểu và tôn trọng sự khác biệt văn hóa giữa các vùng miền.,12
"Dân gian hay nói người miền Nam nhẹ dạ, dễ bị lừa.",regional,"nhẹ dạ, cả tin",Người miền Nam,medium,"Mỗi người là một cá thể độc lập, không đại diện cho tất cả người cùng vùng.",12
Cứ nhìn vào người Hải Phòng là thấy có tiền rồi cũng tiêu xài không biết giữ.,regional,"không biết giữ tiền, phung phá",Người Hải Phòng,medium,"Mỗi người là một cá thể độc lập, không đại diện cho tất cả người cùng vùng.",12
Kinh nghiệm của tôi là dân thủ đô chỉ biết ăn ngon mặc đẹp chứ không lo làm giàu.,regional,"hưởng thụ, thiếu thực tế",Người Hà Nội,medium,"Tính cách con người phụ thuộc vào nhiều yếu tố cá nhân, không phải nơi sinh ra.",12
