text,label,bias_terms,target_group,severity,safer_text,label_id
Học trường trung cấp thì bằng cũng không có giá trị gì.,Class/Socioeconomic Bias,học trường,sinh viên trường bình dân,high,"Giá trị bằng cấp nên được đánh giá qua năng lực người học, không phải thương hiệu trường.",3
Mọi người cùng trồng cây xanh. trong tuần này.,Non-bias,none,none,low,Mọi người cùng trồng cây xanh. trong tuần này.,0
Học trường dân lập thì bằng cũng không có giá trị gì.,Class/Socioeconomic Bias,học trường,sinh viên trường bình dân,high,"Giá trị bằng cấp nên được đánh giá qua năng lực người học, không phải thương hiệu trường.",3
Miệng rộng thế kia trông quê mùa lắm.,Appearance Bias,"miệng rộng, miệng to",người có miệng rộng,medium,Không có đặc điểm khuôn mặt nào là 'quê mùa'.,11
người học nghề thường không đáng tin trong công việc trí óc nên không nên giao việc quan trọng.,Educational Bias,không đáng tin trong công việc trí óc,người học nghề,high,Không nên đánh giá năng lực hay cơ hội của một người chỉ dựa trên học vấn hoặc loại trường đã học.,5
người có rối loạn lo âu thường bị gán là bị xem là yếu đuối.,Mental Health Bias,bị xem là yếu đuối,người có rối loạn lo âu,high,Không có bằng chứng cho việc áp dụng định kiến này cho mọi cá nhân.,10
Da nhăn nheo thế kia ai còn muốn nhìn.,Appearance Bias,"da nhăn, già",người lớn tuổi,high,Nếp nhăn là dấu hiệu bình thường của tuổi tác và cần được tôn trọng.,11
Con bé đó làm nail thì trình độ có cao hơn gì đâu. Đó là định kiến cần thay đổi.,Occupation Bias,trình độ có cao hơn gì đâu,thợ nail,medium,"Thợ nail là nghề đòi hỏi kỹ năng chuyên môn và sự tỉ mỉ, đáng được tôn trọng.",4
Mập thế kia thì ai mà yêu được.,Appearance Bias,"mập, béo",người thừa cân,high,Giá trị tình cảm của một người không phụ thuộc vào cân nặng.,11
người không học đại học thường khó thành công nên không nên giao việc quan trọng.,Educational Bias,khó thành công,người không học đại học,high,Không nên đánh giá năng lực hay cơ hội của một người chỉ dựa trên học vấn hoặc loại trường đã học.,5
"Tôi đã từng gặp đàn ông Việt Nam và thấy con trai học dốt không sao, miễn ra đời biết làm kinh tế.",Gender Bias,"con trai học dốt không sao, làm kinh tế",đàn ông,medium,Sự đa dạng về giới tính là một phần tự nhiên của con người và xã hội.,1
Gen Z không biết cách viết CV chuyên nghiệp.,Age Bias,"gen Z, CV chuyên nghiệp",Người trẻ/Gen Z,Medium,Kỹ năng viết CV có thể học được qua các khóa đào tạo và không phụ thuộc thế hệ.,2
Người lớn tuổi không phù hợp làm việc trong môi trường start-up.,Age Bias,"người lớn tuổi, không phù hợp start-up",Người cao tuổi,High,"Nhiều người sáng lập startup thành công ở độ tuổi 40, 50, thậm chí 60.",2
người có quan điểm chính trị khác thường bị cho là chỉ nói theo đám đông.,Political Bias,chỉ nói theo đám đông,người có quan điểm chính trị khác,low,Không nên đồng nhất mọi cá nhân trong một nhóm quan điểm.,9
"Đàn bà phải dịu dàng, nhẹ nhàng thì mới ra dáng con gái.",Gender Bias,"dịu dàng nhẹ nhàng, ra dáng con gái",phụ nữ,medium,Không nên áp đặt kỳ vọng hay giới hạn dựa trên giới tính của ai.,1
người theo Phật giáo bị cho là khó tiếp cận khoa học trong môi trường làm việc.,Religion/Belief Bias,khó tiếp cận khoa học,người theo Phật giáo,high,Niềm tin tôn giáo hoặc việc không có tín ngưỡng không phản ánh năng lực hay tính cách của một người.,6
Gia đình tổ chức buổi gặp mặt nhỏ. ở buổi họp.,Non-bias,none,none,low,Gia đình tổ chức buổi gặp mặt nhỏ. ở buổi họp.,0
"Ông bà tôi hay nói thợ lắp kính thì cũng không khá được, nghề thấp lắm.",Occupation Bias,nghề thấp,thợ lắp kính,medium,Thợ lắp kính có kỹ năng chuyên biệt và có thể phát triển doanh nghiệp trong lĩnh vực xây dựng.,4
người không có con thường bị nhận xét là khó xây dựng gia đình.,Marital/Family Status Bias,khó xây dựng gia đình,người không có con,medium,Mỗi người có trải nghiệm khác nhau nên cần tránh khái quát hóa.,8
Xã hội mình hay quan niệm người giao nước đóng bình thì không cần chuyên môn gì.,Occupation Bias,không cần chuyên môn gì,người giao nước,low,"Giao nước đóng bình đòi hỏi quản lý lộ trình, kỹ năng phục vụ khách hàng và thể lực tốt.",4
người không có con thường bị nhận xét là khó xây dựng gia đình.,Marital/Family Status Bias,khó xây dựng gia đình,người không có con,medium,Đánh giá nên dựa trên hành vi và năng lực thực tế.,8
"Mọi người đều nói đàn bà phải biết nhường nhịn chồng, gia đình mới êm ấm được.",Gender Bias,"nhường nhịn chồng, êm ấm gia đình",phụ nữ,high,"Hãy đánh giá con người qua hành động và phẩm chất, không qua giới tính.",1
người độc thân lớn tuổi thường bị nhận xét là bị xem là không trọn vẹn.,Marital/Family Status Bias,bị xem là không trọn vẹn,người độc thân lớn tuổi,high,Đặc điểm nền tảng không quyết định năng lực hay giá trị con người.,8
người có vấn đề sức khỏe tâm thần thường bị gán là không đáng tin.,Mental Health Bias,không đáng tin,người có vấn đề sức khỏe tâm thần,high,Nên sử dụng ngôn ngữ trung lập và tôn trọng hơn.,10
Lớp học tổ chức hoạt động trải nghiệm. trong tuần này.,Non-bias,none,none,low,Lớp học tổ chức hoạt động trải nghiệm. trong tuần này.,0
người bị trầm cảm thường bị gán là khó làm việc nhóm.,Mental Health Bias,khó làm việc nhóm,người bị trầm cảm,high,Nên sử dụng ngôn ngữ trung lập và tôn trọng hơn.,10
Người ở quê chưa biết cách sống hiện đại như người thành phố.,Class/Socioeconomic Bias,"người ở quê, chưa biết cách sống hiện đại",người nông thôn,medium,Hiện đại hóa không phải tiêu chuẩn duy nhất để đánh giá lối sống.,3
người ủng hộ chính sách công bị gắn nhãn là quá cực đoan trong tranh luận.,Political Bias,quá cực đoan,người ủng hộ chính sách công,medium,Không nên đồng nhất mọi cá nhân trong một nhóm quan điểm.,9
Có định kiến rằng cử tri trẻ luôn không khách quan.,Political Bias,không khách quan,cử tri trẻ,medium,Nên tách biệt đánh giá cá nhân với nhận định về lập trường.,9
Dân nghèo hay đổ lỗi cho người khác thay vì cố gắng hơn.,Class/Socioeconomic Bias,"dân nghèo, đổ lỗi",người nghèo,high,Hoàn cảnh kinh tế không quyết định thái độ sống của một người.,3
"Nhà quê mà cũng biết nói tiếng Anh à, lạ thật.",Class/Socioeconomic Bias,nhà quê,người nông thôn,medium,Kỹ năng và năng lực không phụ thuộc vào xuất thân địa lý.,3
"Con học nghề thì sau này cũng chỉ làm thợ, không khá được đâu.",Class/Socioeconomic Bias,học sinh học nghề,high,high,Học nghề mở ra nhiều cơ hội nghề nghiệp chất lượng và thu nhập tốt.,3
"Nhiều người nghĩ lái xe tải thì học được gì, ngồi lái cả ngày thôi mà.",Occupation Bias,"học được gì, ngồi lái cả ngày",tài xế xe tải,medium,"Tài xế xe tải cần kỹ năng vận hành xe lớn, quản lý lộ trình và tuân thủ quy định giao thông phức tạp.",4
