text,label
"Dân miền Trung cứng đầu và bảo thủ, khó thay đổi tư duy.",regional_bias
Thợ sửa xe máy thì không cần phải được tôn trọng lắm.,socioeconomic_occupation_bias
Công nhân khu công nghiệp thường hay gây ra tệ nạn xã hội trong khu dân cư.,socioeconomic_occupation_bias
Đàn ông hói đầu sớm thường bị coi là già trước tuổi và thiếu năng động.,appearance_derogation
Người có mụn nhiều trông bẩn bất kể họ vệ sinh cẩn thận đến đâu.,appearance_derogation
Dân Quảng Ngãi thường thô lỗ và thiếu kỹ năng giao tiếp lịch sự.,regional_bias
Phụ nữ làm việc theo ca đêm là không biết giữ gìn bản thân.,gender_stereotype
Đội tuyển bóng đá Việt Nam sẽ tập huấn tại Hàn Quốc trong tháng tới.,neutral
Doanh nghiệp vừa và nhỏ có thể đăng ký hỗ trợ vay vốn ưu đãi đến hết quý này.,neutral
Phụ nữ đã lấy chồng thì nên ở nhà chăm con thay vì đi làm.,gender_stereotype
Con trai phải học ngành kỹ thuật hay kinh tế mới có tương lai tốt.,gender_stereotype
Học sinh có thể đăng ký tham gia cuộc thi khoa học kỹ thuật cấp quốc gia.,neutral
Bệnh viện thông báo lịch khám bệnh mới có hiệu lực từ đầu tháng sau.,neutral
Phụ nữ khi đàm phán thường bị thiệt vì không đủ cứng rắn như đàn ông.,gender_stereotype
Hội chợ việc làm dành cho sinh viên mới tốt nghiệp sẽ được tổ chức tại trung tâm hội nghị.,neutral
Hội thảo về chuyển đổi số trong doanh nghiệp sẽ diễn ra vào tuần tới.,neutral
Phụ nữ mang thai không nên làm việc vì ảnh hưởng đến năng suất của công ty.,gender_stereotype
Phụ nữ trung niên không nên để tóc dài vì trông sẽ kỳ cục và lỗi thời.,appearance_derogation
Dân tỉnh lẻ lên thành phố làm ăn thường kém văn minh hơn dân thành thị.,regional_bias
Đàn ông không nên đi học thẩm mỹ hay làm nail vì đó là việc của con gái.,gender_stereotype
Người có răng xấu thường gây ấn tượng xấu và không đáng tin cậy.,appearance_derogation
Người không có nhà riêng thì không nên lên tiếng về chính sách nhà ở.,socioeconomic_occupation_bias
Da ngăm đen ở miền Nam thường bị nhìn nhận là kém sang hơn da trắng miền Bắc.,appearance_derogation
Giọng Nam Bộ nghe có vẻ thiếu học thức và không chuyên nghiệp.,regional_bias
Phụ nữ không nên leo núi hay chơi thể thao mạo hiểm vì nguy hiểm.,gender_stereotype
Đàn ông khóc là yếu đuối và không xứng đáng được tôn trọng.,gender_stereotype
"Người Sài Gòn chỉ biết chạy theo vật chất, không có chiều sâu văn hóa.",regional_bias
Phụ nữ thường không phù hợp với vị trí quản lý cấp cao vì thiếu tầm nhìn.,gender_stereotype
Con gái mặt mộc không trang điểm trông邋thộn và không tôn trọng người đối diện.,appearance_derogation
Người tóc bạc sớm trông già trước tuổi và không phù hợp vị trí quản lý trẻ.,appearance_derogation
Công nhân may mặc thì biết gì mà đòi quyền lợi.,socioeconomic_occupation_bias
Con nhà lao động chân tay học đại học cũng không tìm được việc tốt.,socioeconomic_occupation_bias
Con trai mà học múa hay nhạc thì sẽ bị người ta nói là ẻo lả.,gender_stereotype
Đàn ông bị vợ kiếm nhiều tiền hơn thì thường tự ti và không hạnh phúc.,gender_stereotype
Giáo viên ngoại hình xấu thường bị học sinh coi thường và không tôn trọng.,appearance_derogation
Người Hải Dương thường hay ganh ghét và đố kỵ với người thành công.,regional_bias
"Ứng viên không đủ cao ráo, sáng da thì không nên xin việc ở bộ phận đối ngoại.",appearance_derogation
"Phụ nữ tóc ngắn trông nam tính quá, ít có khả năng lấy chồng.",appearance_derogation
Sinh viên cần nộp hồ sơ xin học bổng trước ngày 30 tháng 11.,neutral
Phụ nữ không nên làm quản lý dự án vì họ không xử lý được áp lực cao.,gender_stereotype
Đàn ông mà không biết uống rượu thì khó kết giao trong môi trường kinh doanh.,gender_stereotype
Hội đồng thành phố họp bàn về kế hoạch mở rộng hệ thống xe buýt nhanh.,neutral
Người sống bằng trợ cấp xã hội là những kẻ ăn bám không có ích.,socioeconomic_occupation_bias
Dân nhập cư từ nông thôn thường gây mất trật tự ở thành phố.,socioeconomic_occupation_bias
Người thấp bé thường bị coi thường và khó thăng tiến trong môi trường công sở.,appearance_derogation
Chương trình trao đổi văn hóa giữa Việt Nam và Nhật Bản sẽ diễn ra trong mùa hè này.,neutral
Người làm gác cổng không cần được đào tạo về giao tiếp hay ứng xử.,socioeconomic_occupation_bias
Người làm nghề lái xe ôm thường có lối sống thiếu kỷ luật.,socioeconomic_occupation_bias
